Model,Accuracy,Precision,Recall,F1,ROC AUC
Logistic Regression,0.9991188806259472,0.8461538461538461,0.5789473684210527,0.6875,0.9560466717268892
Decision Tree,0.999048391076023,0.7204301075268817,0.7052631578947368,0.7127659574468085,0.8524021037395169
Random Forest,0.9995065731505305,0.971830985915493,0.7263157894736842,0.8313253012048193,0.9239490360647695
Extra Trees,0.9995594403129736,0.9861111111111112,0.7473684210526316,0.8502994011976048,0.9296325888240928
Gradient Boosting,0.9992422373383146,0.8611111111111112,0.6526315789473685,0.7425149700598802,0.8539261164154671
